USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.4  0.3  23084 13880 ?        Ss   16:37   0:00 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    16:37   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    16:37   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-slub_flushwq]
root           7  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-netns]
root           8  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/0:0-ata_sff]
root           9  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/0:1-events]
root          10  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/0:0H-events_highpri]
root          11  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/u16:0-ipv6_addrconf]
root          12  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-mm_percpu_wq]
root          13  0.0  0.0      0     0 ?        I    16:37   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    16:37   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    16:37   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    16:37   0:00 [ksoftirqd/0]
root          17  0.0  0.0      0     0 ?        I    16:37   0:00 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    16:37   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          19  0.0  0.0      0     0 ?        S    16:37   0:00 [rcu_exp_gp_kthread_worker]
root          20  0.0  0.0      0     0 ?        S    16:37   0:00 [migration/0]
root          21  0.0  0.0      0     0 ?        S    16:37   0:00 [idle_inject/0]
root          22  0.0  0.0      0     0 ?        S    16:37   0:00 [cpuhp/0]
root          23  0.0  0.0      0     0 ?        S    16:37   0:00 [cpuhp/1]
root          24  0.0  0.0      0     0 ?        S    16:37   0:00 [idle_inject/1]
root          25  0.0  0.0      0     0 ?        S    16:37   0:00 [migration/1]
root          26  0.0  0.0      0     0 ?        S    16:37   0:00 [ksoftirqd/1]
root          27  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/1:0-cgroup_destroy]
root          28  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/1:0H-events_highpri]
root          29  0.0  0.0      0     0 ?        S    16:37   0:00 [cpuhp/2]
root          30  0.0  0.0      0     0 ?        S    16:37   0:00 [idle_inject/2]
root          31  0.0  0.0      0     0 ?        S    16:37   0:00 [migration/2]
root          32  0.0  0.0      0     0 ?        S    16:37   0:00 [ksoftirqd/2]
root          33  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/2:0-events]
root          34  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/2:0H-events_highpri]
root          35  0.0  0.0      0     0 ?        S    16:37   0:00 [cpuhp/3]
root          36  0.0  0.0      0     0 ?        S    16:37   0:00 [idle_inject/3]
root          37  0.0  0.0      0     0 ?        S    16:37   0:00 [migration/3]
root          38  0.0  0.0      0     0 ?        S    16:37   0:00 [ksoftirqd/3]
root          39  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/3:0-slub_flushwq]
root          40  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/3:0H-events_highpri]
root          41  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/u17:0-writeback]
root          42  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/u18:0-flush-8:0]
root          43  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/u19:0-events_unbound]
root          44  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/u20:0-events_unbound]
root          45  0.0  0.0      0     0 ?        S    16:37   0:00 [kdevtmpfs]
root          46  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-inet_frag_wq]
root          47  0.0  0.0      0     0 ?        S    16:37   0:00 [kauditd]
root          48  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/u17:1-flush-8:0]
root          49  0.0  0.0      0     0 ?        S    16:37   0:00 [khungtaskd]
root          50  0.0  0.0      0     0 ?        S    16:37   0:00 [oom_reaper]
root          51  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/u18:1-events_unbound]
root          52  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-writeback]
root          53  0.0  0.0      0     0 ?        S    16:37   0:00 [kcompactd0]
root          54  0.0  0.0      0     0 ?        SN   16:37   0:00 [ksmd]
root          55  0.0  0.0      0     0 ?        SN   16:37   0:00 [khugepaged]
root          56  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-kintegrityd]
root          57  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-kblockd]
root          58  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-blkcg_punt_bio]
root          59  0.0  0.0      0     0 ?        S    16:37   0:00 [irq/9-acpi]
root          60  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/3:1-cgroup_destroy]
root          61  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/1:1-cgroup_bpf_destroy]
root          62  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-tpm_dev_wq]
root          63  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-ata_sff]
root          64  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-md]
root          65  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-md_bitmap]
root          66  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-edac-poller]
root          67  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/R-devfreq_wq]
root          68  0.0  0.0      0     0 ?        S    16:37   0:00 [watchdogd]
root          69  0.0  0.0      0     0 ?        I    16:37   0:00 [kworker/u20:1-flush-8:0]
root          70  0.0  0.0      0     0 ?        I<   16:37   0:00 [kworker/3:1H-kblockd]
